Индекс,,,,,Наименование,Компетенции,Требования к образованию
,,,,У.8,"Осваивать новые образцы программных, технических средств и информационных технологий",ПК-3,
,,,,Зн.5,Цифровая и аналоговая электроника,ПК-1; ПК-2,
40,,,,,СКВОЗНЫЕ ВИДЫ ПРОФЕССИОНАЛЬНОЙ ДЕЯТЕЛЬНОСТИ В ПРОМЫШЛЕННОСТИ,,
,40.040   ,,,,ИНЖЕНЕР В ОБЛАСТИ РАЗРАБОТКИ ЦИФРОВЫХ БИБЛИОТЕК СТАНДАРТНЫХ ЯЧЕЕК И СЛОЖНОФУНКЦИОНАЛЬНЫХ БЛОКОВ,ПК-1; ПК-2; ПК-3,
,,A,,,Разработка электрических схем и характеризация стандартных ячеек библиотеки,ПК-1; ПК-2; ПК-3,"Высшее образование - бакалавриат
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"
,,,A/01.6,,Разработка электрических схем стандартных ячеек библиотеки,ПК-1; ПК-2; ПК-3,
,,,,ТД.1,Разработка электрических принципиальных схем стандартных ячеек библиотеки,ПК-1,
,,,,ТД.2,Проверка функционирования электрических схем стандартных ячеек библиотеки,ПК-3,
,,,,ТД.4,Исследование работы электрических схем стандартных ячеек на различную емкостную нагрузку,ПК-3,
,,,,ТД.5,Исследование работы электрических схем стандартных ячеек с вариацией длительности фронта входного сигнала,ПК-3,
,,,,У.3,"Проектировать электрические схемы логических элементов, реализующие требуемые логические функции",ПК-1,
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов,ПК-1; ПК-2,
,,,,Зн.6,Характеристики современных систем автоматизированного проектирования микроэлектроники и методы решения задач технологического и схемотехнического проектирования,ПК-3,
,,,A/02.6,,Определение основных статических и динамических характеристик стандартных ячеек библиотеки,ПК-1; ПК-2; ПК-3,
,,,,ТД.1,Измерение основных статических характеристик,ПК-3,
,,,,ТД.2,Измерение основных динамических характеристик,ПК-3,
,,,,У.2,Использовать функциональные возможности и способы применения программных пакетов систем автоматизированного проектирования,ПК-1; ПК-3,
,,,,У.5,Моделировать электрические схемы основных цифровых элементов,ПК-2,
,,,,У.6,"Проектировать электрические схемы, реализующие требуемые логические функции",ПК-1,
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов,ПК-1; ПК-2,
,,,,Зн.7,Характеристики современных систем автоматизированного проектирования микроэлектроники и методы решения задач технологического и схемотехнического проектирования,ПК-1; ПК-3,
,,,A/03.6,,"Характеризация стандартных ячеек библиотеки, генерация файлов",ПК-1; ПК-2; ПК-3,
,,,,ТД.1,Разработка необходимых наборов тестов для верификации стандартных ячеек,ПК-3,
,,,,ТД.2,"Определение значения задержек, значения времен установления и удержания сигнала стандартных ячеек",ПК-3,
,,,,У.2,Проектировать электрические схемы тестирования логических элементов,ПК-1; ПК-2,
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов,ПК-2,
,,,,Зн.5,Методы расчета и проектирования цифровых устройств,ПК-1,
,,,,Зн.7,"Специализированная система автоматизированного проектирования (моделирование и верификация моделей, написанных на языках описания аппаратуры)",ПК-3,
,,B,,,"Разработка топологии, физического представления стандартных ячеек библиотеки",ПК-2,"Высшее образование - бакалавриат
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"
,,,B/01.6,,Размещение и соединение элементов электрических схем стандартных ячеек библиотеки,ПК-2,
,,,,У.6,Читать электрические схемы,ПК-2,
,,,,Зн.4,Основные принципы построения электрических схем простейших элементов,ПК-2,
,,C,,,"Разработка поведенческих описаний моделей стандартных ячеек, разработка технической документации на состав библиотеки стандартных ячеек",ПК-1; ПК-2; ПК-3,"Высшее образование - бакалавриат
Дополнительные профессиональные программы - программы повышения квалификации, программы профессиональной переподготовки"
,,,C/01.6,,Поведенческое описание и тестирование моделей стандартных ячеек библиотеки,ПК-1; ПК-2; ПК-3,
,,,,ТД.2,Разработка тестовых воздействий для проверки функционирования стандартных ячеек библиотеки,ПК-3,
,,,,У.2,Использовать целевые системы автоматизированного проектирования,ПК-1; ПК-3,
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов,ПК-2,
,,,,Зн.3,Основы построения цифровых устройств,ПК-1; ПК-2,
,,,,Зн.7,"Специализированная система автоматизированного проектирования (моделирование и верификация моделей, написанных на языках описания аппаратуры)",ПК-2,
,,,C/02.6,,"Функционально-логическое моделирование стандартных ячеек библиотеки, проверка соответствия функционирования поведенческих моделей и электрических схем стандартных ячеек библиотеки",ПК-1; ПК-2; ПК-3,
,,,,ТД.1,Функционально-логическое моделирование стандартных ячеек библиотеки,ПК-1; ПК-3,
,,,,У.3,Использовать техническую документацию и современные информационные технологии для решения поставленных задач,ПК-1,
,,,,У.5,"Проектировать электрические схемы цифровых электронных устройств, реализующие требуемые логические функции",ПК-1,
,,,,У.6,Проводить тестирование цифровых устройств,ПК-3,
,,,,Зн.2,Основные принципы построения электрических схем простейших элементов,ПК-1; ПК-2,
,,,,Зн.6,"Специализированные системы автоматизированного проектирования (моделирование и верификация моделей, написанных на языках описания аппаратуры)",ПК-3,
,,,C/03.6,,Разработка технической документации на библиотеку стандартных ячеек,ПК-1; ПК-2; ПК-3,
,,,,У.2,Работать с программными продуктами - текстовыми редакторами,ПК-3,
,,,,Зн.2,"Стандартные, полузаказные и заказные большие и сверхбольшие интегральные схемы и системы на кристалле",ПК-1,
,,,,Зн.4,Основные принципы построения электрических схем простейших элементов,ПК-1; ПК-2,
,,,,Зн.6,Современные программные средства - текстовые процессоры,ПК-3,
